task_id,family,law,variant,mode,solver,replicate,role,condition,panel,sample_id,metrics
v3__S1__linearized_gaussian__0__model__center_fNIRS__O0,S1,linearized_gaussian,model,center_fNIRS,O0,0,,,,,"{""EEG"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.0845818727507318, ""nrmse"": 0.46809787658542007, ""bias_coordinate"": 0.008095555417515566}, ""HbO"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.07526740054414943, ""nrmse"": 0.1065008986242808, ""bias_coordinate"": 0.003599040863423245}, ""HbR"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.02419989196133021, ""nrmse"": 0.18262926301392757, ""bias_coordinate"": -0.0006409400563725062}}"
v3__S1__linearized_gaussian__0__model__center_fNIRS__O1,S1,linearized_gaussian,model,center_fNIRS,O1,0,,,,,"{""EEG"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.0845818727507318, ""nrmse"": 0.4440233862212955, ""bias_coordinate"": 0.004644290431913021}, ""HbO"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.07526740054414943, ""nrmse"": 0.12557874735826677, ""bias_coordinate"": 0.0045825337563908585}, ""HbR"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.02419989196133021, ""nrmse"": 0.20982849534035375, ""bias_coordinate"": -0.001250993721597883}}"
v3__S1__linearized_gaussian__0__model__center_fNIRS__O2,S1,linearized_gaussian,model,center_fNIRS,O2,0,,,,,"{""EEG"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.0845818727507318, ""nrmse"": 0.4590091004318478, ""bias_coordinate"": 0.008308509185726738}, ""HbO"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.07526740054414943, ""nrmse"": 0.12332828183537724, ""bias_coordinate"": 0.0043711934782762855}, ""HbR"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.02419989196133021, ""nrmse"": 0.1964131840686519, ""bias_coordinate"": -0.000915498333770021}}"
v3__S1__linearized_gaussian__0__model__center_fNIRS__O2_pointwise,S1,linearized_gaussian,model,center_fNIRS,O2_pointwise,0,,,,,"{""EEG"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.0845818727507318, ""nrmse"": 0.4590091004318478, ""bias_coordinate"": 0.008308509185726738}, ""HbO"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.07526740054414943, ""nrmse"": 0.12332828183537724, ""bias_coordinate"": 0.0043711934782762855}, ""HbR"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.02419989196133021, ""nrmse"": 0.1964131840686519, ""bias_coordinate"": -0.000915498333770021}}"
v3__S1__linearized_gaussian__0__model__center_fNIRS__O2_mean_only,S1,linearized_gaussian,model,center_fNIRS,O2_mean_only,0,,,,,"{""EEG"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.0845818727507318, ""nrmse"": 0.4590091004318478, ""bias_coordinate"": 0.008308509185726738}, ""HbO"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.07526740054414943, ""nrmse"": 0.12332828183537724, ""bias_coordinate"": 0.0043711934782762855}, ""HbR"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.02419989196133021, ""nrmse"": 0.1964131840686519, ""bias_coordinate"": -0.000915498333770021}}"
v3__S1__linearized_gaussian__0__model__whole_EEG__O0,S1,linearized_gaussian,model,whole_EEG,O0,0,,,,,"{""EEG"": {""visible_samples"": 0, ""full_processed_truth_sd"": 0.0845818727507318}, ""HbO"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.07526740054414943, ""nrmse"": 0.12755609315333458, ""bias_coordinate"": 0.00598935323987212}, ""HbR"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.02419989196133021, ""nrmse"": 0.1910806211135903, ""bias_coordinate"": -0.0019936647445754833}}"
v3__S1__linearized_gaussian__0__model__whole_EEG__O1,S1,linearized_gaussian,model,whole_EEG,O1,0,,,,,"{""EEG"": {""visible_samples"": 0, ""full_processed_truth_sd"": 0.0845818727507318}, ""HbO"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.07526740054414943, ""nrmse"": 0.13331741156547103, ""bias_coordinate"": 0.006116665499039428}, ""HbR"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.02419989196133021, ""nrmse"": 0.20414950118212521, ""bias_coordinate"": -0.0022593648202112997}}"
v3__S1__linearized_gaussian__0__model__whole_EEG__O2,S1,linearized_gaussian,model,whole_EEG,O2,0,,,,,"{""EEG"": {""visible_samples"": 0, ""full_processed_truth_sd"": 0.0845818727507318}, ""HbO"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.07526740054414943, ""nrmse"": 0.13013893354187725, ""bias_coordinate"": 0.005834490108073729}, ""HbR"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.02419989196133021, ""nrmse"": 0.20439372528991537, ""bias_coordinate"": -0.002243527450774963}}"
v3__S1__linearized_gaussian__0__model__whole_EEG__O2_pointwise,S1,linearized_gaussian,model,whole_EEG,O2_pointwise,0,,,,,"{""EEG"": {""visible_samples"": 0, ""full_processed_truth_sd"": 0.0845818727507318}, ""HbO"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.07526740054414943, ""nrmse"": 0.13013893354187725, ""bias_coordinate"": 0.005834490108073729}, ""HbR"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.02419989196133021, ""nrmse"": 0.20439372528991537, ""bias_coordinate"": -0.002243527450774963}}"
v3__S1__linearized_gaussian__0__model__whole_EEG__O2_mean_only,S1,linearized_gaussian,model,whole_EEG,O2_mean_only,0,,,,,"{""EEG"": {""visible_samples"": 0, ""full_processed_truth_sd"": 0.0845818727507318}, ""HbO"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.07526740054414943, ""nrmse"": 0.13013893354187725, ""bias_coordinate"": 0.005834490108073729}, ""HbR"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.02419989196133021, ""nrmse"": 0.20439372528991537, ""bias_coordinate"": -0.002243527450774963}}"
