task_id,family,law,variant,mode,solver,replicate,role,condition,panel,sample_id,metrics
v3_assessment__S3_synthetic__synthetic__gain__gain_low__0__O2__4__baseline,S3_synthetic,nonlinear_gaussian,native_feature,center_EEG_shift,O2,,baseline,"{""id"": ""gain_low"", ""law"": ""nonlinear_gaussian"", ""gain"": 0.75}",0,synthetic__gain__gain_low__0/session_01/5,"{""EEG"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.07366221192380519, ""nrmse"": 1.1736026854074464, ""bias_coordinate"": 0.03656327162641283}, ""HbO"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.049655133413739935, ""nrmse"": 2.4007362776561045, ""bias_coordinate"": 0.0942105805222593}, ""HbR"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.016536237995533484, ""nrmse"": 2.1832612595495804, ""bias_coordinate"": -0.027271104122250898}}"
v3_assessment__S3_synthetic__synthetic__gain__gain_low__0__O2__4__baseline,S3_synthetic,nonlinear_gaussian,native_feature,center_fNIRS,O2,,baseline,"{""id"": ""gain_low"", ""law"": ""nonlinear_gaussian"", ""gain"": 0.75}",0,synthetic__gain__gain_low__0/session_01/5,"{""EEG"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.07366221192380519, ""nrmse"": 0.5557844489789066, ""bias_coordinate"": 0.0038452727121831734}, ""HbO"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.049655133413739935, ""nrmse"": 0.14433211317762187, ""bias_coordinate"": -0.00435039950047659}, ""HbR"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.016536237995533484, ""nrmse"": 0.10472680281204727, ""bias_coordinate"": 0.0001910114100334635}}"
v3_assessment__S3_synthetic__synthetic__gain__gain_low__0__O2__4__baseline,S3_synthetic,nonlinear_gaussian,native_feature,center_fNIRS_own,O2,,baseline,"{""id"": ""gain_low"", ""law"": ""nonlinear_gaussian"", ""gain"": 0.75}",0,synthetic__gain__gain_low__0/session_01/5,"{""EEG"": {""visible_samples"": 0, ""full_processed_truth_sd"": 0.07366221192380519}, ""HbO"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.049655133413739935, ""nrmse"": 0.08280820251573877, ""bias_coordinate"": -0.0008501058914939959}, ""HbR"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.016536237995533484, ""nrmse"": 0.12465621589410578, ""bias_coordinate"": -7.642564115172907e-05}}"
v3_assessment__S3_synthetic__synthetic__gain__gain_low__0__O2__4__baseline,S3_synthetic,nonlinear_gaussian,native_feature,center_fNIRS_template,O2,,baseline,"{""id"": ""gain_low"", ""law"": ""nonlinear_gaussian"", ""gain"": 0.75}",0,synthetic__gain__gain_low__0/session_01/5,"{""EEG"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.07366221192380519, ""nrmse"": 0.9648974946110027, ""bias_coordinate"": 0.0068949270758340234}, ""HbO"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.049655133413739935, ""nrmse"": 0.1463925544766783, ""bias_coordinate"": -0.0004980241023273717}, ""HbR"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.016536237995533484, ""nrmse"": 0.23897548272666316, ""bias_coordinate"": 0.00023555380011467902}}"
v3_assessment__S3_synthetic__synthetic__gain__gain_low__0__O2__4__baseline,S3_synthetic,nonlinear_gaussian,native_feature,center_fNIRS_pairing,O2,,baseline,"{""id"": ""gain_low"", ""law"": ""nonlinear_gaussian"", ""gain"": 0.75}",0,synthetic__gain__gain_low__0/session_01/5,"{""EEG"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.07366221192380519, ""nrmse"": 0.8059089492003744, ""bias_coordinate"": -0.0016390277026427254}, ""HbO"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.049655133413739935, ""nrmse"": 0.09271577061627775, ""bias_coordinate"": -0.0018331250100426942}, ""HbR"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.016536237995533484, ""nrmse"": 0.11595442125730393, ""bias_coordinate"": 9.258571427990699e-05}}"
v3_assessment__S3_synthetic__synthetic__gain__gain_low__0__O2__4__baseline,S3_synthetic,nonlinear_gaussian,native_feature,center_fNIRS_shift,O2,,baseline,"{""id"": ""gain_low"", ""law"": ""nonlinear_gaussian"", ""gain"": 0.75}",0,synthetic__gain__gain_low__0/session_01/5,"{""EEG"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.07366221192380519, ""nrmse"": 1.0611957778098966, ""bias_coordinate"": -0.0048332778848880886}, ""HbO"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.049655133413739935, ""nrmse"": 0.18002922803107796, ""bias_coordinate"": 0.004356647953699111}, ""HbR"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.016536237995533484, ""nrmse"": 0.18607419568313552, ""bias_coordinate"": -0.000775573677775078}}"
v3_assessment__S3_synthetic__synthetic__gain__gain_low__0__O2__8__baseline,S3_synthetic,nonlinear_gaussian,native_feature,full,O2,,baseline,"{""id"": ""gain_low"", ""law"": ""nonlinear_gaussian"", ""gain"": 0.75}",0,synthetic__gain__gain_low__0/session_03/0,"{""EEG"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.08790143015318792, ""nrmse"": 0.477368763914033, ""bias_coordinate"": 0.012177524806829935}, ""HbO"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.06657217952593593, ""nrmse"": 0.0747788900179461, ""bias_coordinate"": -0.002589648010399338}, ""HbR"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.021717178622870207, ""nrmse"": 0.1328925035829677, ""bias_coordinate"": 0.0022186467948870736}}"
v3_assessment__S3_synthetic__synthetic__gain__gain_low__0__O2__8__baseline,S3_synthetic,nonlinear_gaussian,native_feature,EEG_only,O2,,baseline,"{""id"": ""gain_low"", ""law"": ""nonlinear_gaussian"", ""gain"": 0.75}",0,synthetic__gain__gain_low__0/session_03/0,"{""EEG"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.08790143015318792, ""nrmse"": 0.5446763432482091, ""bias_coordinate"": 0.02210359351408806}, ""HbO"": {""visible_samples"": 0, ""full_processed_truth_sd"": 0.06657217952593593}, ""HbR"": {""visible_samples"": 0, ""full_processed_truth_sd"": 0.021717178622870207}}"
v3_assessment__S3_synthetic__synthetic__gain__gain_low__0__O2__8__baseline,S3_synthetic,nonlinear_gaussian,native_feature,fNIRS_only,O2,,baseline,"{""id"": ""gain_low"", ""law"": ""nonlinear_gaussian"", ""gain"": 0.75}",0,synthetic__gain__gain_low__0/session_03/0,"{""EEG"": {""visible_samples"": 0, ""full_processed_truth_sd"": 0.08790143015318792}, ""HbO"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.06657217952593593, ""nrmse"": 0.09520760845355743, ""bias_coordinate"": -0.003537184766195679}, ""HbR"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.021717178622870207, ""nrmse"": 0.12030787229288158, ""bias_coordinate"": 0.0019688302450540252}}"
v3_assessment__S3_synthetic__synthetic__gain__gain_low__0__O2__8__baseline,S3_synthetic,nonlinear_gaussian,native_feature,all_missing,O2,,baseline,"{""id"": ""gain_low"", ""law"": ""nonlinear_gaussian"", ""gain"": 0.75}",0,synthetic__gain__gain_low__0/session_03/0,"{""EEG"": {""visible_samples"": 0, ""full_processed_truth_sd"": 0.08790143015318792}, ""HbO"": {""visible_samples"": 0, ""full_processed_truth_sd"": 0.06657217952593593}, ""HbR"": {""visible_samples"": 0, ""full_processed_truth_sd"": 0.021717178622870207}}"
v3_assessment__S3_synthetic__synthetic__gain__gain_low__0__O2__8__baseline,S3_synthetic,nonlinear_gaussian,native_feature,center_EEG,O2,,baseline,"{""id"": ""gain_low"", ""law"": ""nonlinear_gaussian"", ""gain"": 0.75}",0,synthetic__gain__gain_low__0/session_03/0,"{""EEG"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.08790143015318792, ""nrmse"": 0.43524898627542513, ""bias_coordinate"": 0.007029694637370886}, ""HbO"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.06657217952593593, ""nrmse"": 0.07104138822889822, ""bias_coordinate"": -0.002469275548925957}, ""HbR"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.021717178622870207, ""nrmse"": 0.13251471023190534, ""bias_coordinate"": 0.002241764426654083}}"
v3_assessment__S3_synthetic__synthetic__gain__gain_low__0__O2__8__baseline,S3_synthetic,nonlinear_gaussian,native_feature,center_EEG_own,O2,,baseline,"{""id"": ""gain_low"", ""law"": ""nonlinear_gaussian"", ""gain"": 0.75}",0,synthetic__gain__gain_low__0/session_03/0,"{""EEG"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.08790143015318792, ""nrmse"": 0.5219535844562928, ""bias_coordinate"": 0.019969035028983378}, ""HbO"": {""visible_samples"": 0, ""full_processed_truth_sd"": 0.06657217952593593}, ""HbR"": {""visible_samples"": 0, ""full_processed_truth_sd"": 0.021717178622870207}}"
v3_assessment__S3_synthetic__synthetic__gain__gain_low__0__O2__8__baseline,S3_synthetic,nonlinear_gaussian,native_feature,center_EEG_template,O2,,baseline,"{""id"": ""gain_low"", ""law"": ""nonlinear_gaussian"", ""gain"": 0.75}",0,synthetic__gain__gain_low__0/session_03/0,"{""EEG"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.08790143015318792, ""nrmse"": 0.8991199961848385, ""bias_coordinate"": 0.019330238184555697}, ""HbO"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.06657217952593593, ""nrmse"": 1.5697848510468781, ""bias_coordinate"": 0.07271574987055567}, ""HbR"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.021717178622870207, ""nrmse"": 1.4479561686585645, ""bias_coordinate"": -0.019995666599134054}}"
v3_assessment__S3_synthetic__synthetic__gain__gain_low__0__O2__8__baseline,S3_synthetic,nonlinear_gaussian,native_feature,center_EEG_pairing,O2,,baseline,"{""id"": ""gain_low"", ""law"": ""nonlinear_gaussian"", ""gain"": 0.75}",0,synthetic__gain__gain_low__0/session_03/0,"{""EEG"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.08790143015318792, ""nrmse"": 1.4398324115929253, ""bias_coordinate"": 0.08883395608112156}, ""HbO"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.06657217952593593, ""nrmse"": 2.4041593291630043, ""bias_coordinate"": 0.09725851674857049}, ""HbR"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.021717178622870207, ""nrmse"": 2.1194429803478534, ""bias_coordinate"": -0.02158577259172749}}"
v3_assessment__S3_synthetic__synthetic__gain__gain_low__0__O2__8__baseline,S3_synthetic,nonlinear_gaussian,native_feature,center_EEG_shift,O2,,baseline,"{""id"": ""gain_low"", ""law"": ""nonlinear_gaussian"", ""gain"": 0.75}",0,synthetic__gain__gain_low__0/session_03/0,"{""EEG"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.08790143015318792, ""nrmse"": 1.1014902204946313, ""bias_coordinate"": -0.013919848392156906}, ""HbO"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.06657217952593593, ""nrmse"": 2.738551852984043, ""bias_coordinate"": 0.1495896135062095}, ""HbR"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.021717178622870207, ""nrmse"": 2.861956794407613, ""bias_coordinate"": -0.051997870353431765}}"
v3_assessment__S3_synthetic__synthetic__gain__gain_low__0__O2__8__baseline,S3_synthetic,nonlinear_gaussian,native_feature,center_fNIRS,O2,,baseline,"{""id"": ""gain_low"", ""law"": ""nonlinear_gaussian"", ""gain"": 0.75}",0,synthetic__gain__gain_low__0/session_03/0,"{""EEG"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.08790143015318792, ""nrmse"": 0.4794564824117733, ""bias_coordinate"": 0.011459524957405064}, ""HbO"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.06657217952593593, ""nrmse"": 0.09173550626354215, ""bias_coordinate"": -0.0029858260817551916}, ""HbR"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.021717178622870207, ""nrmse"": 0.1416531123681285, ""bias_coordinate"": 0.0019780656563940487}}"
v3_assessment__S3_synthetic__synthetic__gain__gain_low__0__O2__8__baseline,S3_synthetic,nonlinear_gaussian,native_feature,center_fNIRS_own,O2,,baseline,"{""id"": ""gain_low"", ""law"": ""nonlinear_gaussian"", ""gain"": 0.75}",0,synthetic__gain__gain_low__0/session_03/0,"{""EEG"": {""visible_samples"": 0, ""full_processed_truth_sd"": 0.08790143015318792}, ""HbO"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.06657217952593593, ""nrmse"": 0.12226921270137243, ""bias_coordinate"": -0.004264332078409044}, ""HbR"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.021717178622870207, ""nrmse"": 0.14333072798268795, ""bias_coordinate"": 0.0017797300022916328}}"
v3_assessment__S3_synthetic__synthetic__gain__gain_low__0__O2__8__baseline,S3_synthetic,nonlinear_gaussian,native_feature,center_fNIRS_template,O2,,baseline,"{""id"": ""gain_low"", ""law"": ""nonlinear_gaussian"", ""gain"": 0.75}",0,synthetic__gain__gain_low__0/session_03/0,"{""EEG"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.08790143015318792, ""nrmse"": 0.794733720096237, ""bias_coordinate"": 0.021285599499423467}, ""HbO"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.06657217952593593, ""nrmse"": 0.0829807173719257, ""bias_coordinate"": 0.002169684903133128}, ""HbR"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.021717178622870207, ""nrmse"": 0.13320886373278784, ""bias_coordinate"": 0.0016744894393221088}}"
v3_assessment__S3_synthetic__synthetic__gain__gain_low__0__O2__8__baseline,S3_synthetic,nonlinear_gaussian,native_feature,center_fNIRS_pairing,O2,,baseline,"{""id"": ""gain_low"", ""law"": ""nonlinear_gaussian"", ""gain"": 0.75}",0,synthetic__gain__gain_low__0/session_03/0,"{""EEG"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.08790143015318792, ""nrmse"": 0.6721845180859128, ""bias_coordinate"": 0.02136516863442863}, ""HbO"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.06657217952593593, ""nrmse"": 0.0533489401696846, ""bias_coordinate"": -0.001568638665811676}, ""HbR"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.021717178622870207, ""nrmse"": 0.09305054539074364, ""bias_coordinate"": 0.0015569819535546604}}"
v3_assessment__S3_synthetic__synthetic__gain__gain_low__0__O2__8__baseline,S3_synthetic,nonlinear_gaussian,native_feature,center_fNIRS_shift,O2,,baseline,"{""id"": ""gain_low"", ""law"": ""nonlinear_gaussian"", ""gain"": 0.75}",0,synthetic__gain__gain_low__0/session_03/0,"{""EEG"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.08790143015318792, ""nrmse"": 0.725304531319076, ""bias_coordinate"": 0.012080663973608238}, ""HbO"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.06657217952593593, ""nrmse"": 0.05361727937890603, ""bias_coordinate"": 0.0019978474348663925}, ""HbR"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.021717178622870207, ""nrmse"": 0.1128734061429622, ""bias_coordinate"": 0.0015285031874593838}}"
v3_assessment__S3_synthetic__synthetic__gain__gain_low__0__O2__12__baseline,S3_synthetic,nonlinear_gaussian,native_feature,full,O2,,baseline,"{""id"": ""gain_low"", ""law"": ""nonlinear_gaussian"", ""gain"": 0.75}",0,synthetic__gain__gain_low__0/session_03/5,"{""EEG"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.09242358265332061, ""nrmse"": 0.5035086595455106, ""bias_coordinate"": -0.015518745241864812}, ""HbO"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.06471831438258858, ""nrmse"": 0.07281536898860287, ""bias_coordinate"": 0.0019067544103539293}, ""HbR"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.017527598066203885, ""nrmse"": 0.12885491662961132, ""bias_coordinate"": 0.0011597944313187453}}"
v3_assessment__S3_synthetic__synthetic__gain__gain_low__0__O2__12__baseline,S3_synthetic,nonlinear_gaussian,native_feature,EEG_only,O2,,baseline,"{""id"": ""gain_low"", ""law"": ""nonlinear_gaussian"", ""gain"": 0.75}",0,synthetic__gain__gain_low__0/session_03/5,"{""EEG"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.09242358265332061, ""nrmse"": 0.5236264536131883, ""bias_coordinate"": 0.01829845450627227}, ""HbO"": {""visible_samples"": 0, ""full_processed_truth_sd"": 0.06471831438258858}, ""HbR"": {""visible_samples"": 0, ""full_processed_truth_sd"": 0.017527598066203885}}"
v3_assessment__S3_synthetic__synthetic__gain__gain_low__0__O2__12__baseline,S3_synthetic,nonlinear_gaussian,native_feature,fNIRS_only,O2,,baseline,"{""id"": ""gain_low"", ""law"": ""nonlinear_gaussian"", ""gain"": 0.75}",0,synthetic__gain__gain_low__0/session_03/5,"{""EEG"": {""visible_samples"": 0, ""full_processed_truth_sd"": 0.09242358265332061}, ""HbO"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.06471831438258858, ""nrmse"": 0.07718287796323575, ""bias_coordinate"": 0.0020550601408009217}, ""HbR"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.017527598066203885, ""nrmse"": 0.14666362074279252, ""bias_coordinate"": 0.0016617972839792657}}"
v3_assessment__S3_synthetic__synthetic__gain__gain_low__0__O2__12__baseline,S3_synthetic,nonlinear_gaussian,native_feature,all_missing,O2,,baseline,"{""id"": ""gain_low"", ""law"": ""nonlinear_gaussian"", ""gain"": 0.75}",0,synthetic__gain__gain_low__0/session_03/5,"{""EEG"": {""visible_samples"": 0, ""full_processed_truth_sd"": 0.09242358265332061}, ""HbO"": {""visible_samples"": 0, ""full_processed_truth_sd"": 0.06471831438258858}, ""HbR"": {""visible_samples"": 0, ""full_processed_truth_sd"": 0.017527598066203885}}"
v3_assessment__S3_synthetic__synthetic__gain__gain_low__0__O2__12__baseline,S3_synthetic,nonlinear_gaussian,native_feature,center_EEG,O2,,baseline,"{""id"": ""gain_low"", ""law"": ""nonlinear_gaussian"", ""gain"": 0.75}",0,synthetic__gain__gain_low__0/session_03/5,"{""EEG"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.09242358265332061, ""nrmse"": 0.5234954769174673, ""bias_coordinate"": -0.016949267988481922}, ""HbO"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.06471831438258858, ""nrmse"": 0.07241618155784386, ""bias_coordinate"": 0.0018085101103332314}, ""HbR"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.017527598066203885, ""nrmse"": 0.12897252581525046, ""bias_coordinate"": 0.0011508770712624359}}"
v3_assessment__S3_synthetic__synthetic__gain__gain_low__0__O2__12__baseline,S3_synthetic,nonlinear_gaussian,native_feature,center_EEG_own,O2,,baseline,"{""id"": ""gain_low"", ""law"": ""nonlinear_gaussian"", ""gain"": 0.75}",0,synthetic__gain__gain_low__0/session_03/5,"{""EEG"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.09242358265332061, ""nrmse"": 0.512902107448829, ""bias_coordinate"": 0.013409268772840034}, ""HbO"": {""visible_samples"": 0, ""full_processed_truth_sd"": 0.06471831438258858}, ""HbR"": {""visible_samples"": 0, ""full_processed_truth_sd"": 0.017527598066203885}}"
v3_assessment__S3_synthetic__synthetic__gain__gain_low__0__O2__12__baseline,S3_synthetic,nonlinear_gaussian,native_feature,center_EEG_template,O2,,baseline,"{""id"": ""gain_low"", ""law"": ""nonlinear_gaussian"", ""gain"": 0.75}",0,synthetic__gain__gain_low__0/session_03/5,"{""EEG"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.09242358265332061, ""nrmse"": 1.2002738806732385, ""bias_coordinate"": -0.07557641397198242}, ""HbO"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.06471831438258858, ""nrmse"": 1.0847154942456778, ""bias_coordinate"": -0.029718791209249956}, ""HbR"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.017527598066203885, ""nrmse"": 0.9596443045232106, ""bias_coordinate"": 0.0012463915939803847}}"
v3_assessment__S3_synthetic__synthetic__gain__gain_low__0__O2__12__baseline,S3_synthetic,nonlinear_gaussian,native_feature,center_EEG_pairing,O2,,baseline,"{""id"": ""gain_low"", ""law"": ""nonlinear_gaussian"", ""gain"": 0.75}",0,synthetic__gain__gain_low__0/session_03/5,"{""EEG"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.09242358265332061, ""nrmse"": 1.2755289246742658, ""bias_coordinate"": -0.08163202949786962}, ""HbO"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.06471831438258858, ""nrmse"": 1.0922385921955158, ""bias_coordinate"": -0.008114929271726896}, ""HbR"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.017527598066203885, ""nrmse"": 1.2861206033004384, ""bias_coordinate"": -0.0072228516378358976}}"
v3_assessment__S3_synthetic__synthetic__gain__gain_low__0__O2__12__baseline,S3_synthetic,nonlinear_gaussian,native_feature,center_EEG_shift,O2,,baseline,"{""id"": ""gain_low"", ""law"": ""nonlinear_gaussian"", ""gain"": 0.75}",0,synthetic__gain__gain_low__0/session_03/5,"{""EEG"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.09242358265332061, ""nrmse"": 1.1293367184967567, ""bias_coordinate"": -0.06264700852205365}, ""HbO"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.06471831438258858, ""nrmse"": 0.8912233225400049, ""bias_coordinate"": 0.01839819461296807}, ""HbR"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.017527598066203885, ""nrmse"": 0.903162386842817, ""bias_coordinate"": -0.004275356271443322}}"
v3_assessment__S3_synthetic__synthetic__gain__gain_low__0__O2__12__baseline,S3_synthetic,nonlinear_gaussian,native_feature,center_fNIRS,O2,,baseline,"{""id"": ""gain_low"", ""law"": ""nonlinear_gaussian"", ""gain"": 0.75}",0,synthetic__gain__gain_low__0/session_03/5,"{""EEG"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.09242358265332061, ""nrmse"": 0.505018017585277, ""bias_coordinate"": -0.01589269737563158}, ""HbO"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.06471831438258858, ""nrmse"": 0.07082351046164954, ""bias_coordinate"": 0.0009877275543891287}, ""HbR"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.017527598066203885, ""nrmse"": 0.14119776851973628, ""bias_coordinate"": 0.001512186457155214}}"
v3_assessment__S3_synthetic__synthetic__gain__gain_low__0__O2__12__baseline,S3_synthetic,nonlinear_gaussian,native_feature,center_fNIRS_own,O2,,baseline,"{""id"": ""gain_low"", ""law"": ""nonlinear_gaussian"", ""gain"": 0.75}",0,synthetic__gain__gain_low__0/session_03/5,"{""EEG"": {""visible_samples"": 0, ""full_processed_truth_sd"": 0.09242358265332061}, ""HbO"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.06471831438258858, ""nrmse"": 0.07796568121510568, ""bias_coordinate"": 0.0012245211062052047}, ""HbR"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.017527598066203885, ""nrmse"": 0.16204568256990495, ""bias_coordinate"": 0.001999330519036617}}"
v3_assessment__S3_synthetic__synthetic__gain__gain_low__0__O2__12__baseline,S3_synthetic,nonlinear_gaussian,native_feature,center_fNIRS_template,O2,,baseline,"{""id"": ""gain_low"", ""law"": ""nonlinear_gaussian"", ""gain"": 0.75}",0,synthetic__gain__gain_low__0/session_03/5,"{""EEG"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.09242358265332061, ""nrmse"": 0.874445331370492, ""bias_coordinate"": -0.03988569531915364}, ""HbO"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.06471831438258858, ""nrmse"": 0.09176870080866192, ""bias_coordinate"": -0.0015567044156211884}, ""HbR"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.017527598066203885, ""nrmse"": 0.2664638668896656, ""bias_coordinate"": 0.0032682410234694355}}"
v3_assessment__S3_synthetic__synthetic__gain__gain_low__0__O2__12__baseline,S3_synthetic,nonlinear_gaussian,native_feature,center_fNIRS_pairing,O2,,baseline,"{""id"": ""gain_low"", ""law"": ""nonlinear_gaussian"", ""gain"": 0.75}",0,synthetic__gain__gain_low__0/session_03/5,"{""EEG"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.09242358265332061, ""nrmse"": 0.6653283718013073, ""bias_coordinate"": -0.022040969600052793}, ""HbO"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.06471831438258858, ""nrmse"": 0.0830291326223782, ""bias_coordinate"": 0.0017530386523309982}, ""HbR"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.017527598066203885, ""nrmse"": 0.18632878623661872, ""bias_coordinate"": 0.0022001770717505536}}"
v3_assessment__S3_synthetic__synthetic__gain__gain_low__0__O2__12__baseline,S3_synthetic,nonlinear_gaussian,native_feature,center_fNIRS_shift,O2,,baseline,"{""id"": ""gain_low"", ""law"": ""nonlinear_gaussian"", ""gain"": 0.75}",0,synthetic__gain__gain_low__0/session_03/5,"{""EEG"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.09242358265332061, ""nrmse"": 0.6981567302381109, ""bias_coordinate"": -0.026316637554477957}, ""HbO"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.06471831438258858, ""nrmse"": 0.06499252848939367, ""bias_coordinate"": -0.0002760499641902267}, ""HbR"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.017527598066203885, ""nrmse"": 0.17474704094779533, ""bias_coordinate"": 0.001916309212574884}}"
v3_assessment__S3_synthetic__synthetic__gain__gain_low__0__O2__16__baseline,S3_synthetic,nonlinear_gaussian,native_feature,full,O2,,baseline,"{""id"": ""gain_low"", ""law"": ""nonlinear_gaussian"", ""gain"": 0.75}",0,synthetic__gain__gain_low__0/session_05/0,"{""EEG"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.08163863378920375, ""nrmse"": 0.4801008097926397, ""bias_coordinate"": 0.014082232996184024}, ""HbO"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.04098651324089649, ""nrmse"": 0.18171441266671284, ""bias_coordinate"": -0.004797776369378373}, ""HbR"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.01183994447753481, ""nrmse"": 0.1142512941041365, ""bias_coordinate"": -0.0008892984530571212}}"
v3_assessment__S3_synthetic__synthetic__gain__gain_low__0__O2__16__baseline,S3_synthetic,nonlinear_gaussian,native_feature,EEG_only,O2,,baseline,"{""id"": ""gain_low"", ""law"": ""nonlinear_gaussian"", ""gain"": 0.75}",0,synthetic__gain__gain_low__0/session_05/0,"{""EEG"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.08163863378920375, ""nrmse"": 0.6668330127851515, ""bias_coordinate"": -0.02420544709887289}, ""HbO"": {""visible_samples"": 0, ""full_processed_truth_sd"": 0.04098651324089649}, ""HbR"": {""visible_samples"": 0, ""full_processed_truth_sd"": 0.01183994447753481}}"
v3_assessment__S3_synthetic__synthetic__gain__gain_low__0__O2__16__baseline,S3_synthetic,nonlinear_gaussian,native_feature,fNIRS_only,O2,,baseline,"{""id"": ""gain_low"", ""law"": ""nonlinear_gaussian"", ""gain"": 0.75}",0,synthetic__gain__gain_low__0/session_05/0,"{""EEG"": {""visible_samples"": 0, ""full_processed_truth_sd"": 0.08163863378920375}, ""HbO"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.04098651324089649, ""nrmse"": 0.07638750999180748, ""bias_coordinate"": 0.0005034434013025448}, ""HbR"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.01183994447753481, ""nrmse"": 0.1386803736652685, ""bias_coordinate"": -0.00108694252296494}}"
