condition,panel,solver,status,selected
w_high,1,O2,completed,"{""id"": ""baseline"", ""eeg"": ""E0"", ""noise"": 1.0, ""gain"": 1.0, ""sigma_h"": 1.0, ""sigma_r"": 1.0, ""w"": 0.0, ""g"": 0.0}"
w_high,2,O2,completed,"{""id"": ""baseline"", ""eeg"": ""E0"", ""noise"": 1.0, ""gain"": 1.0, ""sigma_h"": 1.0, ""sigma_r"": 1.0, ""w"": 0.0, ""g"": 0.0}"
w_high,3,O2,completed,"{""id"": ""gain_1.5"", ""eeg"": ""E0"", ""noise"": 1.0, ""gain"": 1.5, ""sigma_h"": 1.0, ""sigma_r"": 1.0, ""w"": 0.0, ""g"": 0.0}"
gw_low,0,O2,completed,"{""id"": ""gain_0.75"", ""eeg"": ""E0"", ""noise"": 1.0, ""gain"": 0.75, ""sigma_h"": 1.0, ""sigma_r"": 1.0, ""w"": 0.0, ""g"": 0.0}"
gw_low,1,O2,completed,"{""id"": ""gain_0.75"", ""eeg"": ""E0"", ""noise"": 1.0, ""gain"": 0.75, ""sigma_h"": 1.0, ""sigma_r"": 1.0, ""w"": 0.0, ""g"": 0.0}"
gw_low,2,O2,completed,"{""id"": ""gain_0.75"", ""eeg"": ""E0"", ""noise"": 1.0, ""gain"": 0.75, ""sigma_h"": 1.0, ""sigma_r"": 1.0, ""w"": 0.0, ""g"": 0.0}"
gw_low,3,O2,completed,"{""id"": ""gain_0.75"", ""eeg"": ""E0"", ""noise"": 1.0, ""gain"": 0.75, ""sigma_h"": 1.0, ""sigma_r"": 1.0, ""w"": 0.0, ""g"": 0.0}"
gw_high,0,O2,completed,"{""id"": ""baseline"", ""eeg"": ""E0"", ""noise"": 1.0, ""gain"": 1.0, ""sigma_h"": 1.0, ""sigma_r"": 1.0, ""w"": 0.0, ""g"": 0.0}"
gw_high,1,O2,completed,"{""id"": ""gain_2"", ""eeg"": ""E0"", ""noise"": 1.0, ""gain"": 2.0, ""sigma_h"": 1.0, ""sigma_r"": 1.0, ""w"": 0.0, ""g"": 0.0}"
gw_high,2,O2,completed,"{""id"": ""gain_1.5"", ""eeg"": ""E0"", ""noise"": 1.0, ""gain"": 1.5, ""sigma_h"": 1.0, ""sigma_r"": 1.0, ""w"": 0.0, ""g"": 0.0}"
gw_high,3,O2,completed,"{""id"": ""gain_1.5"", ""eeg"": ""E0"", ""noise"": 1.0, ""gain"": 1.5, ""sigma_h"": 1.0, ""sigma_r"": 1.0, ""w"": 0.0, ""g"": 0.0}"
student_t,0,O2,completed,"{""id"": ""baseline"", ""eeg"": ""E0"", ""noise"": 1.0, ""gain"": 1.0, ""sigma_h"": 1.0, ""sigma_r"": 1.0, ""w"": 0.0, ""g"": 0.0}"
student_t,1,O2,completed,"{""id"": ""gain_0.75"", ""eeg"": ""E0"", ""noise"": 1.0, ""gain"": 0.75, ""sigma_h"": 1.0, ""sigma_r"": 1.0, ""w"": 0.0, ""g"": 0.0}"
student_t,2,O2,completed,"{""id"": ""baseline"", ""eeg"": ""E0"", ""noise"": 1.0, ""gain"": 1.0, ""sigma_h"": 1.0, ""sigma_r"": 1.0, ""w"": 0.0, ""g"": 0.0}"
student_t,3,O2,completed,"{""id"": ""baseline"", ""eeg"": ""E0"", ""noise"": 1.0, ""gain"": 1.0, ""sigma_h"": 1.0, ""sigma_r"": 1.0, ""w"": 0.0, ""g"": 0.0}"
independent_pairing,0,O2,completed,"{""id"": ""gain_2"", ""eeg"": ""E0"", ""noise"": 1.0, ""gain"": 2.0, ""sigma_h"": 1.0, ""sigma_r"": 1.0, ""w"": 0.0, ""g"": 0.0}"
independent_pairing,1,O2,completed,"{""id"": ""gain_2"", ""eeg"": ""E0"", ""noise"": 1.0, ""gain"": 2.0, ""sigma_h"": 1.0, ""sigma_r"": 1.0, ""w"": 0.0, ""g"": 0.0}"
independent_pairing,2,O2,completed,"{""id"": ""gain_2"", ""eeg"": ""E0"", ""noise"": 1.0, ""gain"": 2.0, ""sigma_h"": 1.0, ""sigma_r"": 1.0, ""w"": 0.0, ""g"": 0.0}"
independent_pairing,3,O2,completed,"{""id"": ""gain_2"", ""eeg"": ""E0"", ""noise"": 1.0, ""gain"": 2.0, ""sigma_h"": 1.0, ""sigma_r"": 1.0, ""w"": 0.0, ""g"": 0.0}"
