direction,completed,expected,mean_nmse,increments
EEG,30,72,"{""basic"": 0.9112065438994312, ""joint"": 0.9209983707242673, ""pairing"": 0.8961118804125006, ""shift"": 1.5566162086773325}","{""basic"": -0.009791826824836003, ""pairing"": -0.024886490311766762, ""shift"": 0.6356178379530654}"
fNIRS,30,72,"{""basic"": 0.026170243696687273, ""joint"": 0.027266593987172193, ""pairing"": 0.02761403409283218, ""shift"": 0.02858048165514725}","{""basic"": -0.0010963502904849194, ""pairing"": 0.0003474401056599824, ""shift"": 0.0013138876679750612}"
