task_id,family,solver,fit_calls_lower_bound,optimizer_starts,optimizer_evaluations,interrupted_call_possible,reused_task,elapsed_seconds,peak_rss_bytes
v3__S1__nonlinear_gaussian__13__model__whole_fNIRS__O2_mean_only,S1,O2_mean_only,1,2,14,False,,1.2933451250428334,684650496
v3__S1__nonlinear_gaussian__13__combined__full__O0,S1,O0,1,0,0,False,,0.953748662956059,684650496
v3__S1__nonlinear_gaussian__13__combined__full__O1,S1,O1,1,0,0,False,,0.8875513780512847,684789760
v3__S1__nonlinear_gaussian__13__combined__full__O2,S1,O2,1,2,22,False,,2.7413500510156155,689205248
v3__S1__nonlinear_gaussian__13__combined__full__O2_pointwise,S1,O2_pointwise,1,2,18,False,,2.227584277978167,684650496
v3__S1__nonlinear_gaussian__13__combined__full__O2_mean_only,S1,O2_mean_only,1,2,22,False,,2.617299360979814,684650496
v3__S1__nonlinear_gaussian__13__combined__center_EEG__O0,S1,O0,1,0,0,False,,0.8975513759651221,684650496
v3__S1__nonlinear_gaussian__13__combined__center_EEG__O1,S1,O1,1,0,0,False,,0.8061854050029069,687251456
v3__S1__nonlinear_gaussian__13__combined__center_EEG__O2,S1,O2,1,2,22,False,,2.4788518270361237,684650496
v3__S1__nonlinear_gaussian__13__combined__center_EEG__O2_pointwise,S1,O2_pointwise,1,2,18,False,,2.201985130959656,684789760
v3__S1__nonlinear_gaussian__13__combined__center_EEG__O2_mean_only,S1,O2_mean_only,1,2,26,False,,2.8393880699877627,684650496
v3__S1__nonlinear_gaussian__13__combined__center_fNIRS__O0,S1,O0,1,0,0,False,,0.8571847500279546,684650496
v3__S1__nonlinear_gaussian__13__combined__center_fNIRS__O1,S1,O1,1,0,0,False,,0.7658549069892615,686837760
v3__S1__nonlinear_gaussian__13__combined__center_fNIRS__O2,S1,O2,1,2,18,False,,2.1847727969870903,684650496
v3__S1__nonlinear_gaussian__13__combined__center_fNIRS__O2_pointwise,S1,O2_pointwise,1,2,18,False,,2.1377283089677803,684650496
v3__S1__nonlinear_gaussian__13__combined__center_fNIRS__O2_mean_only,S1,O2_mean_only,1,2,22,False,,2.4687821530387737,684650496
v3__S1__nonlinear_gaussian__13__combined__whole_EEG__O0,S1,O0,1,0,0,False,,0.8397019009571522,685056000
v3__S1__nonlinear_gaussian__13__combined__whole_EEG__O1,S1,O1,1,0,0,False,,0.7428739300230518,687251456
v3__S1__nonlinear_gaussian__13__combined__whole_EEG__O2,S1,O2,1,2,22,False,,2.544281144044362,684650496
v3__S1__nonlinear_gaussian__13__combined__whole_EEG__O2_pointwise,S1,O2_pointwise,1,2,18,False,,2.146537325985264,684650496
v3__S1__nonlinear_gaussian__13__combined__whole_EEG__O2_mean_only,S1,O2_mean_only,1,2,30,False,,3.0833662009681575,684908544
v3__S1__nonlinear_gaussian__13__combined__whole_fNIRS__O0,S1,O0,1,0,0,False,,0.8300096020102501,686837760
v3__S1__nonlinear_gaussian__13__combined__whole_fNIRS__O1,S1,O1,1,0,0,False,,0.7095601999899372,684650496
v3__S1__nonlinear_gaussian__13__combined__whole_fNIRS__O2,S1,O2,1,2,15,False,,1.9225514240097255,687251456
v3__S1__nonlinear_gaussian__13__combined__whole_fNIRS__O2_pointwise,S1,O2_pointwise,1,2,19,False,,2.1652006710064597,685056000
v3__S1__nonlinear_gaussian__13__combined__whole_fNIRS__O2_mean_only,S1,O2_mean_only,1,2,15,False,,1.8641809429973364,684650496
v3__S1__nonlinear_gaussian__14__model__full__O0,S1,O0,1,0,0,False,,0.3557717729709111,684650496
v3__S1__nonlinear_gaussian__14__model__full__O1,S1,O1,1,0,0,False,,0.2621385620441288,686837760
v3__S1__nonlinear_gaussian__14__model__full__O2,S1,O2,1,2,18,False,,1.7698934690561146,689205248
v3__S1__nonlinear_gaussian__14__model__full__O2_pointwise,S1,O2_pointwise,1,2,18,False,,1.7284890330047347,684650496
v3__S1__nonlinear_gaussian__14__model__full__O2_mean_only,S1,O2_mean_only,1,2,18,False,,1.6933682750095613,686837760
v3__S1__nonlinear_gaussian__14__model__center_EEG__O0,S1,O0,1,0,0,False,,0.32865584403043613,684650496
v3__S1__nonlinear_gaussian__14__model__center_EEG__O1,S1,O1,1,0,0,False,,0.2166853990056552,684789760
v3__S1__nonlinear_gaussian__14__model__center_EEG__O2,S1,O2,1,2,18,False,,1.6911671760026366,684650496
v3__S1__nonlinear_gaussian__14__model__center_EEG__O2_pointwise,S1,O2_pointwise,1,2,18,False,,1.5862365189823322,684650496
v3__S1__nonlinear_gaussian__14__model__center_EEG__O2_mean_only,S1,O2_mean_only,1,2,18,False,,1.6360675240284763,684789760
v3__S1__nonlinear_gaussian__14__model__center_fNIRS__O0,S1,O0,1,0,0,False,,0.3091107769869268,684650496
v3__S1__nonlinear_gaussian__14__model__center_fNIRS__O1,S1,O1,1,0,0,False,,0.23229557898594067,684650496
v3__S1__nonlinear_gaussian__14__model__center_fNIRS__O2,S1,O2,1,2,18,False,,1.6689492330187932,684650496
v3__S1__nonlinear_gaussian__14__model__center_fNIRS__O2_pointwise,S1,O2_pointwise,1,2,18,False,,1.617030474008061,684650496
v3__S1__nonlinear_gaussian__14__model__center_fNIRS__O2_mean_only,S1,O2_mean_only,1,2,18,False,,1.6312338840216398,684650496
v3__S1__nonlinear_gaussian__14__model__whole_EEG__O0,S1,O0,1,0,0,False,,0.27436253300402313,684650496
v3__S1__nonlinear_gaussian__14__model__whole_EEG__O1,S1,O1,1,0,0,False,,0.18209360697073862,684650496
v3__S1__nonlinear_gaussian__14__model__whole_EEG__O2,S1,O2,1,2,18,False,,1.6520552249858156,684650496
v3__S1__nonlinear_gaussian__14__model__whole_EEG__O2_pointwise,S1,O2_pointwise,1,2,18,False,,1.6024660810362548,687251456
v3__S1__nonlinear_gaussian__14__model__whole_EEG__O2_mean_only,S1,O2_mean_only,1,2,18,False,,1.5961704889778048,684650496
v3__S1__nonlinear_gaussian__14__model__whole_fNIRS__O0,S1,O0,1,0,0,False,,0.26890485896728933,684650496
v3__S1__nonlinear_gaussian__14__model__whole_fNIRS__O1,S1,O1,1,0,0,False,,0.1606773579842411,685056000
v3__S1__nonlinear_gaussian__14__model__whole_fNIRS__O2,S1,O2,1,2,27,False,,2.060612319968641,684650496
v3__S1__nonlinear_gaussian__14__model__whole_fNIRS__O2_pointwise,S1,O2_pointwise,1,2,27,False,,2.106976926967036,684650496
v3__S1__nonlinear_gaussian__14__model__whole_fNIRS__O2_mean_only,S1,O2_mean_only,1,2,27,False,,2.0884051919565536,684908544
v3__S1__nonlinear_gaussian__14__combined__full__O0,S1,O0,1,0,0,False,,0.9039949820144102,685056000
v3__S1__nonlinear_gaussian__14__combined__full__O1,S1,O1,1,0,0,False,,0.8362770419917069,689205248
v3__S1__nonlinear_gaussian__14__combined__full__O2,S1,O2,1,2,18,False,,2.283204974955879,684650496
v3__S1__nonlinear_gaussian__14__combined__full__O2_pointwise,S1,O2_pointwise,1,2,18,False,,2.2700286699691787,686837760
v3__S1__nonlinear_gaussian__14__combined__full__O2_mean_only,S1,O2_mean_only,1,2,34,False,,3.4539505669963546,684650496
v3__S1__nonlinear_gaussian__14__combined__center_EEG__O0,S1,O0,1,0,0,False,,0.8525535969529301,684789760
v3__S1__nonlinear_gaussian__14__combined__center_EEG__O1,S1,O1,1,0,0,False,,0.7683353860047646,684650496
v3__S1__nonlinear_gaussian__14__combined__center_EEG__O2,S1,O2,1,2,18,False,,2.313669178984128,684650496
v3__S1__nonlinear_gaussian__14__combined__center_EEG__O2_pointwise,S1,O2_pointwise,1,2,18,False,,2.2792168330051936,684650496
v3__S1__nonlinear_gaussian__14__combined__center_EEG__O2_mean_only,S1,O2_mean_only,1,2,34,False,,3.5594780950341374,684650496
v3__S1__nonlinear_gaussian__14__combined__center_fNIRS__O0,S1,O0,1,0,0,False,,0.8576706849853508,685056000
v3__S1__nonlinear_gaussian__14__combined__center_fNIRS__O1,S1,O1,1,0,0,False,,0.8014356209896505,689205248
v3__S1__nonlinear_gaussian__14__combined__center_fNIRS__O2,S1,O2,1,2,18,False,,2.3532337640062906,684650496
v3__S1__nonlinear_gaussian__14__combined__center_fNIRS__O2_pointwise,S1,O2_pointwise,1,2,18,False,,2.2596291330410168,687251456
v3__S1__nonlinear_gaussian__14__combined__center_fNIRS__O2_mean_only,S1,O2_mean_only,1,2,34,False,,3.5265645640320145,684650496
v3__S1__nonlinear_gaussian__14__combined__whole_EEG__O0,S1,O0,1,0,0,False,,0.8470130659989081,684650496
v3__S1__nonlinear_gaussian__14__combined__whole_EEG__O1,S1,O1,1,0,0,False,,0.7330653380486183,684789760
v3__S1__nonlinear_gaussian__14__combined__whole_EEG__O2,S1,O2,1,2,18,False,,2.2323987830313854,685056000
v3__S1__nonlinear_gaussian__14__combined__whole_EEG__O2_pointwise,S1,O2_pointwise,1,2,18,False,,2.3290685289539397,689205248
v3__S1__nonlinear_gaussian__14__combined__whole_EEG__O2_mean_only,S1,O2_mean_only,1,2,102,False,,8.727644446014892,684650496
v3__S1__nonlinear_gaussian__14__combined__whole_fNIRS__O0,S1,O0,1,0,0,False,,0.9460630950052291,684650496
v3__S1__nonlinear_gaussian__14__combined__whole_fNIRS__O1,S1,O1,1,0,0,False,,0.749504335981328,684908544
v3__S1__nonlinear_gaussian__14__combined__whole_fNIRS__O2,S1,O2,1,2,22,False,,2.4340335539891385,684789760
v3__S1__nonlinear_gaussian__14__combined__whole_fNIRS__O2_pointwise,S1,O2_pointwise,1,2,19,False,,2.1944076120271347,684650496
v3__S1__nonlinear_gaussian__14__combined__whole_fNIRS__O2_mean_only,S1,O2_mean_only,1,2,22,False,,2.4157412870554253,684650496
v3__S1__nonlinear_gaussian__15__model__full__O0,S1,O0,1,0,0,False,,0.37217121600406244,686837760
v3__S1__nonlinear_gaussian__15__model__full__O1,S1,O1,1,0,0,False,,0.2822761239949614,684908544
v3__S1__nonlinear_gaussian__15__model__full__O2,S1,O2,1,2,18,False,,1.7484925500466488,686837760
v3__S1__nonlinear_gaussian__15__model__full__O2_pointwise,S1,O2_pointwise,1,2,18,False,,1.7576823640265502,684650496
v3__S1__nonlinear_gaussian__15__model__full__O2_mean_only,S1,O2_mean_only,1,2,18,False,,1.7308339360170066,684650496
v3__S1__nonlinear_gaussian__15__model__center_EEG__O0,S1,O0,1,0,0,False,,0.31053437100490555,684650496
v3__S1__nonlinear_gaussian__15__model__center_EEG__O1,S1,O1,1,0,0,False,,0.2187997039873153,684908544
v3__S1__nonlinear_gaussian__15__model__center_EEG__O2,S1,O2,1,2,18,False,,1.687766727001872,687251456
v3__S1__nonlinear_gaussian__15__model__center_EEG__O2_pointwise,S1,O2_pointwise,1,2,18,False,,1.6316779290209524,684908544
v3__S1__nonlinear_gaussian__15__model__center_EEG__O2_mean_only,S1,O2_mean_only,1,2,18,False,,1.7110151500091888,684650496
v3__S1__nonlinear_gaussian__15__model__center_fNIRS__O0,S1,O0,1,0,0,False,,0.32685922703240067,684650496
v3__S1__nonlinear_gaussian__15__model__center_fNIRS__O1,S1,O1,1,0,0,False,,0.22044726397143677,684650496
v3__S1__nonlinear_gaussian__15__model__center_fNIRS__O2,S1,O2,1,2,18,False,,1.6167340349638835,684650496
v3__S1__nonlinear_gaussian__15__model__center_fNIRS__O2_pointwise,S1,O2_pointwise,1,2,18,False,,1.6125565640395507,684650496
v3__S1__nonlinear_gaussian__15__model__center_fNIRS__O2_mean_only,S1,O2_mean_only,1,2,18,False,,1.6827830949914642,685056000
v3__S1__nonlinear_gaussian__15__model__whole_EEG__O0,S1,O0,1,0,0,False,,0.28428700898075476,689205248
v3__S1__nonlinear_gaussian__15__model__whole_EEG__O1,S1,O1,1,0,0,False,,0.18969040003139526,684650496
v3__S1__nonlinear_gaussian__15__model__whole_EEG__O2,S1,O2,1,2,18,False,,1.6496968470164575,689205248
v3__S1__nonlinear_gaussian__15__model__whole_EEG__O2_pointwise,S1,O2_pointwise,1,2,18,False,,1.5765666540246457,684650496
v3__S1__nonlinear_gaussian__15__model__whole_EEG__O2_mean_only,S1,O2_mean_only,1,2,18,False,,1.635555595974438,684789760
v3__S1__nonlinear_gaussian__15__model__whole_fNIRS__O0,S1,O0,1,0,0,False,,0.2797172059654258,684650496
v3__S1__nonlinear_gaussian__15__model__whole_fNIRS__O1,S1,O1,1,0,0,False,,0.16656484501436353,686837760
v3__S1__nonlinear_gaussian__15__model__whole_fNIRS__O2,S1,O2,1,2,14,False,,1.3145552880014293,684650496
v3__S1__nonlinear_gaussian__15__model__whole_fNIRS__O2_pointwise,S1,O2_pointwise,1,2,14,False,,1.2799904880230315,684650496
v3__S1__nonlinear_gaussian__15__model__whole_fNIRS__O2_mean_only,S1,O2_mean_only,1,2,14,False,,1.255804015963804,684650496
v3__S1__nonlinear_gaussian__15__combined__full__O0,S1,O0,1,0,0,False,,0.9085954019683413,686837760
v3__S1__nonlinear_gaussian__15__combined__full__O1,S1,O1,1,0,0,False,,0.8231695179711096,684650496
v3__S1__nonlinear_gaussian__15__combined__full__O2,S1,O2,1,2,18,False,,2.3127595700207166,684650496
v3__S1__nonlinear_gaussian__15__combined__full__O2_pointwise,S1,O2_pointwise,1,2,18,False,,2.245936822029762,684908544
v3__S1__nonlinear_gaussian__15__combined__full__O2_mean_only,S1,O2_mean_only,1,2,30,False,,3.248841583961621,687251456
v3__S1__nonlinear_gaussian__15__combined__center_EEG__O0,S1,O0,1,0,0,False,,0.857894797984045,684650496
v3__S1__nonlinear_gaussian__15__combined__center_EEG__O1,S1,O1,1,0,0,False,,0.7751950040110387,684650496
v3__S1__nonlinear_gaussian__15__combined__center_EEG__O2,S1,O2,1,2,18,False,,2.1616086259600706,684650496
v3__S1__nonlinear_gaussian__15__combined__center_EEG__O2_pointwise,S1,O2_pointwise,1,2,18,False,,2.2169406799948774,685056000
v3__S1__nonlinear_gaussian__15__combined__center_EEG__O2_mean_only,S1,O2_mean_only,1,2,30,False,,3.1669710529968143,684650496
v3__S1__nonlinear_gaussian__15__combined__center_fNIRS__O0,S1,O0,1,0,0,False,,0.861085751967039,686837760
v3__S1__nonlinear_gaussian__15__combined__center_fNIRS__O1,S1,O1,1,0,0,False,,0.77533787896391,684650496
v3__S1__nonlinear_gaussian__15__combined__center_fNIRS__O2,S1,O2,1,2,18,False,,2.2395743579836562,684650496
v3__S1__nonlinear_gaussian__15__combined__center_fNIRS__O2_pointwise,S1,O2_pointwise,1,2,18,False,,2.193367895029951,684650496
v3__S1__nonlinear_gaussian__15__combined__center_fNIRS__O2_mean_only,S1,O2_mean_only,1,2,30,False,,3.12811419198988,684650496
v3__S1__nonlinear_gaussian__15__combined__whole_EEG__O0,S1,O0,1,0,0,False,,0.8598106559948064,684650496
v3__S1__nonlinear_gaussian__15__combined__whole_EEG__O1,S1,O1,1,0,0,False,,0.7696196499746293,689205248
v3__S1__nonlinear_gaussian__15__combined__whole_EEG__O2,S1,O2,1,2,18,False,,2.1646645750151947,684789760
v3__S1__nonlinear_gaussian__15__combined__whole_EEG__O2_pointwise,S1,O2_pointwise,1,2,18,False,,2.09131280798465,684650496
v3__S1__nonlinear_gaussian__15__combined__whole_EEG__O2_mean_only,S1,O2_mean_only,1,2,82,False,,7.259912506968249,686837760
v3__S1__nonlinear_gaussian__15__combined__whole_fNIRS__O0,S1,O0,1,0,0,False,,0.8281419719569385,684650496
v3__S1__nonlinear_gaussian__15__combined__whole_fNIRS__O1,S1,O1,1,0,0,False,,0.7379124300205149,689205248
v3__S1__nonlinear_gaussian__15__combined__whole_fNIRS__O2,S1,O2,1,2,14,False,,1.8393579939729534,684650496
v3__S1__nonlinear_gaussian__15__combined__whole_fNIRS__O2_pointwise,S1,O2_pointwise,1,2,19,False,,2.178072632988915,684650496
v3__S1__nonlinear_gaussian__15__combined__whole_fNIRS__O2_mean_only,S1,O2_mean_only,1,2,14,False,,1.8058866339852102,684908544
v3__S1__nonlinear_gaussian__16__model__full__O0,S1,O0,1,0,0,False,,0.3488176980172284,684650496
v3__S1__nonlinear_gaussian__16__model__full__O1,S1,O1,1,0,0,False,,0.295592911017593,689205248
v3__S1__nonlinear_gaussian__16__model__full__O2,S1,O2,1,2,18,False,,1.6819622020120732,684650496
v3__S1__nonlinear_gaussian__16__model__full__O2_pointwise,S1,O2_pointwise,1,2,18,False,,1.7073076719534583,685056000
v3__S1__nonlinear_gaussian__16__model__full__O2_mean_only,S1,O2_mean_only,1,2,18,False,,1.7019662199891172,684650496
v3__S1__nonlinear_gaussian__16__model__center_EEG__O0,S1,O0,1,0,0,False,,0.3121120470459573,689205248
v3__S1__nonlinear_gaussian__16__model__center_EEG__O1,S1,O1,1,0,0,False,,0.2153342750389129,684650496
v3__S1__nonlinear_gaussian__16__model__center_EEG__O2,S1,O2,1,2,18,False,,1.6926459399983287,684650496
v3__S1__nonlinear_gaussian__16__model__center_EEG__O2_pointwise,S1,O2_pointwise,1,2,18,False,,1.6948910339851864,689205248
v3__S1__nonlinear_gaussian__16__model__center_EEG__O2_mean_only,S1,O2_mean_only,1,2,18,False,,1.6710413849796169,687251456
v3__S1__nonlinear_gaussian__16__model__center_fNIRS__O0,S1,O0,1,0,0,False,,0.3040654619690031,684650496
v3__S1__nonlinear_gaussian__16__model__center_fNIRS__O1,S1,O1,1,0,0,False,,0.21056636702269316,684789760
v3__S1__nonlinear_gaussian__16__model__center_fNIRS__O2,S1,O2,1,2,18,False,,1.6072694179601967,684650496
v3__S1__nonlinear_gaussian__16__model__center_fNIRS__O2_pointwise,S1,O2_pointwise,1,2,18,False,,1.6588065900141373,684789760
v3__S1__nonlinear_gaussian__16__model__center_fNIRS__O2_mean_only,S1,O2_mean_only,1,2,18,False,,1.643408450006973,684650496
v3__S1__nonlinear_gaussian__16__model__whole_EEG__O0,S1,O0,1,0,0,False,,0.2813083949731663,684650496
v3__S1__nonlinear_gaussian__16__model__whole_EEG__O1,S1,O1,1,0,0,False,,0.21666535298572853,684650496
v3__S1__nonlinear_gaussian__16__model__whole_EEG__O2,S1,O2,1,2,18,False,,1.6045063090277836,684650496
v3__S1__nonlinear_gaussian__16__model__whole_EEG__O2_pointwise,S1,O2_pointwise,1,2,18,False,,1.5889825240010396,684908544
v3__S1__nonlinear_gaussian__16__model__whole_EEG__O2_mean_only,S1,O2_mean_only,1,2,18,False,,1.5735818160464987,684650496
v3__S1__nonlinear_gaussian__16__model__whole_fNIRS__O0,S1,O0,1,0,0,False,,0.28623481397517025,684650496
v3__S1__nonlinear_gaussian__16__model__whole_fNIRS__O1,S1,O1,1,0,0,False,,0.1712077329866588,684650496
v3__S1__nonlinear_gaussian__16__model__whole_fNIRS__O2,S1,O2,1,2,19,False,,1.6057062800391577,684650496
v3__S1__nonlinear_gaussian__16__model__whole_fNIRS__O2_pointwise,S1,O2_pointwise,1,2,19,False,,1.5449875299818814,684650496
v3__S1__nonlinear_gaussian__16__model__whole_fNIRS__O2_mean_only,S1,O2_mean_only,1,2,19,False,,1.9366619339562021,684650496
v3__S1__nonlinear_gaussian__16__combined__full__O0,S1,O0,1,0,0,False,,0.8994966709869914,685056000
v3__S1__nonlinear_gaussian__16__combined__full__O1,S1,O1,1,0,0,False,,0.8219426479772665,684650496
v3__S1__nonlinear_gaussian__16__combined__full__O2,S1,O2,1,2,18,False,,2.3320875620120205,684650496
v3__S1__nonlinear_gaussian__16__combined__full__O2_pointwise,S1,O2_pointwise,1,2,18,False,,2.267600867024157,687251456
v3__S1__nonlinear_gaussian__16__combined__full__O2_mean_only,S1,O2_mean_only,1,2,26,False,,3.0487829400226474,689205248
v3__S1__nonlinear_gaussian__16__combined__center_EEG__O0,S1,O0,1,0,0,False,,0.8531712309923023,684650496
v3__S1__nonlinear_gaussian__16__combined__center_EEG__O1,S1,O1,1,0,0,False,,0.7709945329697803,684789760
v3__S1__nonlinear_gaussian__16__combined__center_EEG__O2,S1,O2,1,2,18,False,,2.2206626500119455,684650496
v3__S1__nonlinear_gaussian__16__combined__center_EEG__O2_pointwise,S1,O2_pointwise,1,2,18,False,,2.2166549650137313,684650496
v3__S1__nonlinear_gaussian__16__combined__center_EEG__O2_mean_only,S1,O2_mean_only,1,2,22,False,,2.552777655015234,685056000
v3__S1__nonlinear_gaussian__16__combined__center_fNIRS__O0,S1,O0,1,0,0,False,,0.8746867850422859,684650496
v3__S1__nonlinear_gaussian__16__combined__center_fNIRS__O1,S1,O1,1,0,0,False,,0.782464315998368,684908544
v3__S1__nonlinear_gaussian__16__combined__center_fNIRS__O2,S1,O2,1,2,18,False,,2.201288109004963,684650496
v3__S1__nonlinear_gaussian__16__combined__center_fNIRS__O2_pointwise,S1,O2_pointwise,1,2,18,False,,2.1942567270016298,684650496
v3__S1__nonlinear_gaussian__16__combined__center_fNIRS__O2_mean_only,S1,O2_mean_only,1,2,22,False,,2.4410219909623265,684650496
v3__S1__nonlinear_gaussian__16__combined__whole_EEG__O0,S1,O0,1,0,0,False,,0.8529593490529805,684650496
v3__S1__nonlinear_gaussian__16__combined__whole_EEG__O1,S1,O1,1,0,0,False,,0.7475603009806946,684650496
v3__S1__nonlinear_gaussian__16__combined__whole_EEG__O2,S1,O2,1,2,18,False,,2.195100158045534,684789760
v3__S1__nonlinear_gaussian__16__combined__whole_EEG__O2_pointwise,S1,O2_pointwise,1,2,18,False,,2.1697701559751295,684908544
v3__S1__nonlinear_gaussian__16__combined__whole_EEG__O2_mean_only,S1,O2_mean_only,1,2,42,False,,3.9844249750021845,684650496
v3__S1__nonlinear_gaussian__16__combined__whole_fNIRS__O0,S1,O0,1,0,0,False,,0.8502217159839347,684650496
v3__S1__nonlinear_gaussian__16__combined__whole_fNIRS__O1,S1,O1,1,0,0,False,,0.7147620209725574,684650496
v3__S1__nonlinear_gaussian__16__combined__whole_fNIRS__O2,S1,O2,1,2,15,False,,1.8655956609873101,684650496
v3__S1__nonlinear_gaussian__16__combined__whole_fNIRS__O2_pointwise,S1,O2_pointwise,1,2,19,False,,2.1859584439662285,687251456
v3__S1__nonlinear_gaussian__16__combined__whole_fNIRS__O2_mean_only,S1,O2_mean_only,1,2,15,False,,1.9867393010063097,684650496
v3__S1__nonlinear_gaussian__17__model__full__O0,S1,O0,1,0,0,False,,0.42026685597375035,684650496
v3__S1__nonlinear_gaussian__17__model__full__O1,S1,O1,1,0,0,False,,0.2779335379600525,684650496
v3__S1__nonlinear_gaussian__17__model__full__O2,S1,O2,1,2,18,False,,1.6941686859936453,684650496
v3__S1__nonlinear_gaussian__17__model__full__O2_pointwise,S1,O2_pointwise,1,2,18,False,,1.7054317200090736,684650496
v3__S1__nonlinear_gaussian__17__model__full__O2_mean_only,S1,O2_mean_only,1,2,18,False,,1.8028084239922464,684650496
v3__S1__nonlinear_gaussian__17__model__center_EEG__O0,S1,O0,1,0,0,False,,0.30585796100785956,684650496
v3__S1__nonlinear_gaussian__17__model__center_EEG__O1,S1,O1,1,0,0,False,,0.23651700600748882,684650496
v3__S1__nonlinear_gaussian__17__model__center_EEG__O2,S1,O2,1,2,18,False,,1.7050753189832903,684650496
v3__S1__nonlinear_gaussian__17__model__center_EEG__O2_pointwise,S1,O2_pointwise,1,2,18,False,,1.730613193998579,689205248
v3__S1__nonlinear_gaussian__17__model__center_EEG__O2_mean_only,S1,O2_mean_only,1,2,18,False,,1.6620011670165695,685056000
v3__S1__nonlinear_gaussian__17__model__center_fNIRS__O0,S1,O0,1,0,0,False,,0.318607130961027,684650496
v3__S1__nonlinear_gaussian__17__model__center_fNIRS__O1,S1,O1,1,0,0,False,,0.240913306013681,684650496
v3__S1__nonlinear_gaussian__17__model__center_fNIRS__O2,S1,O2,1,2,18,False,,1.6734624200034887,684789760
v3__S1__nonlinear_gaussian__17__model__center_fNIRS__O2_pointwise,S1,O2_pointwise,1,2,18,False,,1.5766498370212503,684650496
v3__S1__nonlinear_gaussian__17__model__center_fNIRS__O2_mean_only,S1,O2_mean_only,1,2,18,False,,1.6311531409737654,684650496
v3__S1__nonlinear_gaussian__17__model__whole_EEG__O0,S1,O0,1,0,0,False,,0.30755931604653597,684650496
v3__S1__nonlinear_gaussian__17__model__whole_EEG__O1,S1,O1,1,0,0,False,,0.1848809840157628,684908544
v3__S1__nonlinear_gaussian__17__model__whole_EEG__O2,S1,O2,1,2,18,False,,1.5814086440368555,684650496
v3__S1__nonlinear_gaussian__17__model__whole_EEG__O2_pointwise,S1,O2_pointwise,1,2,18,False,,1.547726126969792,684650496
v3__S1__nonlinear_gaussian__17__model__whole_EEG__O2_mean_only,S1,O2_mean_only,1,2,18,False,,1.5900602579931729,684908544
v3__S1__nonlinear_gaussian__17__model__whole_fNIRS__O0,S1,O0,1,0,0,False,,0.27437303395709023,686837760
v3__S1__nonlinear_gaussian__17__model__whole_fNIRS__O1,S1,O1,1,0,0,False,,0.16532848100177944,686837760
v3__S1__nonlinear_gaussian__17__model__whole_fNIRS__O2,S1,O2,1,2,19,False,,1.6445322879590094,684650496
v3__S1__nonlinear_gaussian__17__model__whole_fNIRS__O2_pointwise,S1,O2_pointwise,1,2,19,False,,1.5597001049900427,684650496
v3__S1__nonlinear_gaussian__17__model__whole_fNIRS__O2_mean_only,S1,O2_mean_only,1,2,19,False,,1.6112462839810178,686837760
v3__S1__nonlinear_gaussian__17__combined__full__O0,S1,O0,1,0,0,False,,0.9050206050160341,684650496
v3__S1__nonlinear_gaussian__17__combined__full__O1,S1,O1,1,0,0,False,,0.8199878740124404,687251456
v3__S1__nonlinear_gaussian__17__combined__full__O2,S1,O2,1,2,18,False,,2.29845939099323,684650496
v3__S1__nonlinear_gaussian__17__combined__full__O2_pointwise,S1,O2_pointwise,1,2,18,False,,2.3218811610131525,684650496
v3__S1__nonlinear_gaussian__17__combined__full__O2_mean_only,S1,O2_mean_only,1,2,30,False,,3.3060454039950855,689205248
v3__S1__nonlinear_gaussian__17__combined__center_EEG__O0,S1,O0,1,0,0,False,,0.8551031850511208,685056000
v3__S1__nonlinear_gaussian__17__combined__center_EEG__O1,S1,O1,1,0,0,False,,0.7617533690063283,684650496
v3__S1__nonlinear_gaussian__17__combined__center_EEG__O2,S1,O2,1,2,18,False,,2.2092212369898334,684789760
v3__S1__nonlinear_gaussian__17__combined__center_EEG__O2_pointwise,S1,O2_pointwise,1,2,18,False,,2.212443227006588,684650496
v3__S1__nonlinear_gaussian__17__combined__center_EEG__O2_mean_only,S1,O2_mean_only,1,2,30,False,,3.1425890210084617,687251456
v3__S1__nonlinear_gaussian__17__combined__center_fNIRS__O0,S1,O0,1,0,0,False,,0.9056518350262195,684650496
v3__S1__nonlinear_gaussian__17__combined__center_fNIRS__O1,S1,O1,1,0,0,False,,0.7622962509631179,684650496
v3__S1__nonlinear_gaussian__17__combined__center_fNIRS__O2,S1,O2,1,2,18,False,,2.2179473119904287,684650496
v3__S1__nonlinear_gaussian__17__combined__center_fNIRS__O2_pointwise,S1,O2_pointwise,1,2,18,False,,2.16854800604051,684908544
v3__S1__nonlinear_gaussian__17__combined__center_fNIRS__O2_mean_only,S1,O2_mean_only,1,2,30,False,,3.062280470971018,684650496
v3__S1__nonlinear_gaussian__17__combined__whole_EEG__O0,S1,O0,1,0,0,False,,0.8274141259607859,685056000
v3__S1__nonlinear_gaussian__17__combined__whole_EEG__O1,S1,O1,1,0,0,False,,0.7261462680180557,684650496
v3__S1__nonlinear_gaussian__17__combined__whole_EEG__O2,S1,O2,1,2,18,False,,2.1158856490510516,684650496
v3__S1__nonlinear_gaussian__17__combined__whole_EEG__O2_pointwise,S1,O2_pointwise,1,2,18,False,,2.202881234989036,684650496
v3__S1__nonlinear_gaussian__17__combined__whole_EEG__O2_mean_only,S1,O2_mean_only,1,2,164,False,,12.309663043997716,686837760
v3__S1__nonlinear_gaussian__17__combined__whole_fNIRS__O0,S1,O0,1,0,0,False,,0.826197873975616,684650496
