rule,reference,complete_common_trials,expected_trials,candidate_B,baseline_B,relative_improvement,nrmse_change,null_increment_change,improved_subjects,full_denominators,measured_priority_screen_passed,interpretation
S2/O0,S2/O0,21,72,3.6478524924383984,3.6478524924383984,0.0,"[0.0, 0.0, 0.0]","{""own"": [0.0, 0.0, 0.0], ""template"": [0.0, 0.0, 0.0], ""pairing"": [0.0, 0.0, 0.0], ""shift"": [0.0, 0.0, 0.0]}",0,False,False,exploratory only; synthetic qualification separately required
S2/O1,S2/O0,2,72,0.8311341065444326,4.851303939761129,0.828678203455264,"[-1.3101065709701585, -1.5626673862583353, -1.1659719291633972]","{""own"": [3.7388088021658104, 3.575636863773047, -0.2501442302118888], ""template"": [1.155002797167076, -0.378748150954382, 0.6598589929151234], ""pairing"": [1.8317679002807894, -1.83998303365596, 1.5692964574612835], ""shift"": [132.8015298166428, 3.4726120182822813, -0.8210070946153932]}",1,False,False,exploratory only; synthetic qualification separately required
S2/O2,S2/O0,0,72,,,,,"{""own"": null, ""template"": null, ""pairing"": null, ""shift"": null}",0,False,False,exploratory only; synthetic qualification separately required
S3_measured/O2,S2/O2,0,72,,,,,"{""own"": null, ""template"": null, ""pairing"": null, ""shift"": null}",0,False,False,exploratory only; synthetic qualification separately required
S4_measured/O0,S2/O0,10,72,1.9985827518746322,2.2316532139808745,0.10443847666210015,"[-0.020820038572578303, -0.07814406827073772, -0.23866983966493205]","{""own"": [0.06435709196095965, 0.2657830697614993, -0.10613489029877421], ""template"": [-0.46502801646261915, -0.1460320842605274, 0.16011029150247777], ""pairing"": [0.1223042837299096, 0.1789267182093193, 0.12276926959581692], ""shift"": [-6.215763744155453, 0.2713793873738433, 0.05136429219106932]}",2,False,False,exploratory only; synthetic qualification separately required
S4_measured/O2,S2/O2,0,72,,,,,"{""own"": null, ""template"": null, ""pairing"": null, ""shift"": null}",0,False,False,exploratory only; synthetic qualification separately required
