stream,condition,parity,candidate,mode,expected,completed,r_nrmse,r_coverage95,r_mean_interval_width,clean_EEG_nrmse,clean_EEG_coverage95,clean_EEG_mean_interval_width,clean_HbO_nrmse,clean_HbO_coverage95,clean_HbO_mean_interval_width,clean_HbR_nrmse,clean_HbR_coverage95,clean_HbR_mean_interval_width,mean_log_likelihood
discovery,true_g,0,baseline,full,8,8,0.5827603990242757,0.916015625,0.1494758434443409,0.5827603990242757,0.916015625,0.1494758434443409,0.21669298934432618,0.94921875,0.031999757499578854,0.23814153122877188,0.919921875,0.011038656533696059,332.77174555530223
discovery,true_g,0,baseline,EEG_only,8,8,0.6518462380540784,0.931640625,0.17223438275231645,0.6518462380540784,0.931640625,0.17223438275231645,0.5989382019076317,0.939453125,0.10181075710821,0.5596712001304875,0.9453125,0.031212058866214035,46.18515592339893
discovery,true_g,0,baseline,fNIRS_only,8,8,0.7631200942511327,0.904296875,0.1910438523427072,0.7631200942511327,0.904296875,0.1910438523427072,0.2435705836968578,0.931640625,0.03481359449822277,0.26115493911896026,0.9140625,0.011485878757929004,283.02279981195
discovery,true_g,1,baseline,full,8,8,0.635418664797689,0.890625,0.14886995905270664,0.635418664797689,0.890625,0.14886995905270664,0.18192823619968845,0.9296875,0.03207397027167094,0.21178624651438538,0.931640625,0.011261837930956864,332.5276889621698
discovery,true_g,1,baseline,EEG_only,8,8,0.6730391794111776,0.923828125,0.17146327569928935,0.6730391794111776,0.923828125,0.17146327569928935,0.6680973475047494,0.755859375,0.10585849814099565,0.6816788783110233,0.8203125,0.03203856194097229,48.29674533314375
discovery,true_g,1,baseline,fNIRS_only,8,8,0.7933305427415829,0.896484375,0.1912385445594187,0.7933305427415829,0.896484375,0.1912385445594187,0.20174485899167763,0.91796875,0.03473216676438981,0.2144758862456094,0.94140625,0.011772182252828767,282.77702214514557
discovery,true_g,0,g-0.6_w-0.5,full,8,8,0.629020441403605,0.92578125,0.16703329698305247,0.629020441403605,0.92578125,0.16703329698305247,0.29288236219191033,0.728515625,0.028673112991506666,0.28600719056048507,0.8359375,0.010466335150869862,325.1999287446099
discovery,true_g,0,g-0.6_w-0.5,EEG_only,8,8,0.6518462380540782,0.931640625,0.17223438275231642,0.6518462380540782,0.931640625,0.17223438275231642,0.9513440128057823,0.69140625,0.08158442735454106,0.9262320182735426,0.7421875,0.02628759692907881,46.18515592339894
discovery,true_g,0,g-0.6_w-0.5,fNIRS_only,8,8,1.0000027492482655,0.869140625,0.25368469081901535,1.0000027492482655,0.869140625,0.25368469081901535,0.2737818908276757,0.806640625,0.0303194026251176,0.27183175530182413,0.8828125,0.01077360096293815,280.124677229281
discovery,true_g,1,g-0.6_w-0.5,full,8,8,0.8841513564415185,0.82421875,0.16660788438865096,0.8841513564415185,0.82421875,0.16660788438865096,0.28382000502725,0.6484375,0.03045344055333623,0.2956543448627978,0.748046875,0.01100044936679508,305.296404855394
